Case,Video,Alpha,Threshold,Size_MB,Total_Frames,Sent_Frames,Det_Frames,Baseline_Det_Frames,Sent_Ratio_Pct,Det_Recall_Pct
Baseline,VIRAT_S_000001.mp4,-,-,9064.26,20655,20655,20655,20655,100.0,100.0
Uniform(Q20),VIRAT_S_000001.mp4,-,-,1876.55,20655,20655,20655,20655,100.0,100.0
Proposed,VIRAT_S_000001.mp4,0.01,0.589,8943.71,20655,20380,20380,20655,98.67,98.67
Proposed,VIRAT_S_000001.mp4,0.05,0.613,8773.79,20655,19993,19993,20655,96.79,96.79
Proposed,VIRAT_S_000001.mp4,0.1,0.626,8616.05,20655,19634,19634,20655,95.06,95.06
Proposed,VIRAT_S_000001.mp4,0.2,0.641,8284.91,20655,18880,18880,20655,91.41,91.41
Baseline,VIRAT_S_000002.mp4,-,-,4008.66,9075,9075,9075,9075,100.0,100.0
Uniform(Q20),VIRAT_S_000002.mp4,-,-,832.85,9075,9075,9075,9075,100.0,100.0
Proposed,VIRAT_S_000002.mp4,0.01,0.618,3473.57,9075,7863,7863,9075,86.64,86.64
Proposed,VIRAT_S_000002.mp4,0.05,0.647,2830.47,9075,6409,6409,9075,70.62,70.62
Proposed,VIRAT_S_000002.mp4,0.1,0.662,2428.61,9075,5500,5500,9075,60.61,60.61
Proposed,VIRAT_S_000002.mp4,0.2,0.68,1962.71,9075,4444,4444,9075,48.97,48.97
Baseline,VIRAT_S_000004.mp4,-,-,7925.23,17640,17640,17640,17640,100.0,100.0
Uniform(Q20),VIRAT_S_000004.mp4,-,-,1658.18,17640,17640,17640,17640,100.0,100.0
Proposed,VIRAT_S_000004.mp4,0.01,0.614,7432.56,17640,16546,16546,17640,93.8,93.8
Proposed,VIRAT_S_000004.mp4,0.05,0.635,7096.29,17640,15798,15798,17640,89.56,89.56
Proposed,VIRAT_S_000004.mp4,0.1,0.647,6845.33,17640,15239,15239,17640,86.39,86.39
Proposed,VIRAT_S_000004.mp4,0.2,0.661,6390.37,17640,14224,14224,17640,80.63,80.63
Baseline,VIRAT_S_000006.mp4,-,-,8068.86,17805,17805,17805,17805,100.0,100.0
Uniform(Q20),VIRAT_S_000006.mp4,-,-,1695.64,17805,17805,17805,17805,100.0,100.0
Proposed,VIRAT_S_000006.mp4,0.01,0.334,8063.98,17805,17794,17794,17805,99.94,99.94
Proposed,VIRAT_S_000006.mp4,0.05,0.397,8023.51,17805,17705,17705,17805,99.44,99.44
Proposed,VIRAT_S_000006.mp4,0.1,0.431,7957.88,17805,17560,17560,17805,98.62,98.62
Proposed,VIRAT_S_000006.mp4,0.2,0.471,7823.08,17805,17262,17262,17805,96.95,96.95
Baseline,VIRAT_S_000101.mp4,-,-,8719.28,20340,20340,18617,18617,100.0,100.0
Uniform(Q20),VIRAT_S_000101.mp4,-,-,1903.35,20340,20340,18617,18617,100.0,100.0
Proposed,VIRAT_S_000101.mp4,0.01,0.725,5642.47,20340,13117,13117,18617,64.49,70.46
Proposed,VIRAT_S_000101.mp4,0.05,0.738,5269.37,20340,12243,12243,18617,60.19,65.76
Proposed,VIRAT_S_000101.mp4,0.1,0.745,5037.5,20340,11700,11700,18617,57.52,62.85
Proposed,VIRAT_S_000101.mp4,0.2,0.753,4781.69,20340,11101,11101,18617,54.58,59.63
Baseline,VIRAT_S_000003.mp4,-,-,9325.15,20940,20940,20940,20940,100.0,100.0
Uniform(Q20),VIRAT_S_000003.mp4,-,-,1940.82,20940,20940,20940,20940,100.0,100.0
Proposed,VIRAT_S_000003.mp4,0.01,0.64,8246.92,20940,18513,18513,20940,88.41,88.41
Proposed,VIRAT_S_000003.mp4,0.05,0.655,7716.9,20940,17321,17321,20940,82.72,82.72
Proposed,VIRAT_S_000003.mp4,0.1,0.663,7341.15,20940,16476,16476,20940,78.68,78.68
Proposed,VIRAT_S_000003.mp4,0.2,0.672,6829.75,20940,15326,15326,20940,73.19,73.19
Baseline,VIRAT_S_000102.mp4,-,-,12705.59,29580,29580,29520,29520,100.0,100.0
Uniform(Q20),VIRAT_S_000102.mp4,-,-,2758.59,29580,29580,29520,29520,100.0,100.0
Proposed,VIRAT_S_000102.mp4,0.01,0.636,11380.95,29580,26502,26502,29520,89.59,89.78
Proposed,VIRAT_S_000102.mp4,0.05,0.662,10706.39,29580,24934,24934,29520,84.29,84.46
Proposed,VIRAT_S_000102.mp4,0.1,0.676,10209.01,29580,23778,23778,29520,80.39,80.55
Proposed,VIRAT_S_000102.mp4,0.2,0.693,9422.89,29580,21951,21951,29520,74.21,74.36
