Case,Video,Alpha,Threshold,Size_MB,Total_Frames,Sent_Frames,Det_Frames,Baseline_Det_Frames,Sent_Ratio_Pct,Det_Recall_Pct
Baseline,VIRAT_S_000002.mp4,-,-,4008.66,9075,9075,9075,9075,100.0,100.0
Uniform(Q20),VIRAT_S_000002.mp4,-,-,832.85,9075,9075,9075,9075,100.0,100.0
Proposed,VIRAT_S_000002.mp4,0.01,0.146,4008.66,9075,9075,9075,9075,100.0,100.0
Proposed,VIRAT_S_000002.mp4,0.05,0.253,4008.66,9075,9075,9075,9075,100.0,100.0
Proposed,VIRAT_S_000002.mp4,0.1,0.31,4008.66,9075,9075,9075,9075,100.0,100.0
Proposed,VIRAT_S_000002.mp4,0.2,0.379,4008.33,9075,9074,9074,9075,99.99,99.99
Baseline,VIRAT_S_000205_02_000409_000566.mp4,-,-,949.96,4690,4690,4690,4690,100.0,100.0
Uniform(Q20),VIRAT_S_000205_02_000409_000566.mp4,-,-,230.22,4690,4690,4690,4690,100.0,100.0
Proposed,VIRAT_S_000205_02_000409_000566.mp4,0.01,0.115,949.96,4690,4690,4690,4690,100.0,100.0
Proposed,VIRAT_S_000205_02_000409_000566.mp4,0.05,0.212,949.96,4690,4690,4690,4690,100.0,100.0
Proposed,VIRAT_S_000205_02_000409_000566.mp4,0.1,0.264,949.96,4690,4690,4690,4690,100.0,100.0
Proposed,VIRAT_S_000205_02_000409_000566.mp4,0.2,0.326,949.96,4690,4690,4690,4690,100.0,100.0
Baseline,VIRAT_S_000205_03_000860_000922.mp4,-,-,358.54,1836,1836,1836,1836,100.0,100.0
Uniform(Q20),VIRAT_S_000205_03_000860_000922.mp4,-,-,87.81,1836,1836,1836,1836,100.0,100.0
Proposed,VIRAT_S_000205_03_000860_000922.mp4,0.01,0.148,358.54,1836,1836,1836,1836,100.0,100.0
Proposed,VIRAT_S_000205_03_000860_000922.mp4,0.05,0.245,358.54,1836,1836,1836,1836,100.0,100.0
Proposed,VIRAT_S_000205_03_000860_000922.mp4,0.1,0.296,358.54,1836,1836,1836,1836,100.0,100.0
Proposed,VIRAT_S_000205_03_000860_000922.mp4,0.2,0.358,358.54,1836,1836,1836,1836,100.0,100.0
Baseline,VIRAT_S_000205_05_001092_001124.mp4,-,-,181.67,958,958,958,958,100.0,100.0
Uniform(Q20),VIRAT_S_000205_05_001092_001124.mp4,-,-,44.42,958,958,958,958,100.0,100.0
Proposed,VIRAT_S_000205_05_001092_001124.mp4,0.01,0.161,181.67,958,958,958,958,100.0,100.0
Proposed,VIRAT_S_000205_05_001092_001124.mp4,0.05,0.259,181.67,958,958,958,958,100.0,100.0
Proposed,VIRAT_S_000205_05_001092_001124.mp4,0.1,0.312,181.67,958,958,958,958,100.0,100.0
Proposed,VIRAT_S_000205_05_001092_001124.mp4,0.2,0.375,181.67,958,958,958,958,100.0,100.0
Baseline,VIRAT_S_000206_07_001501_001600.mp4,-,-,521.87,2730,2730,2730,2730,100.0,100.0
Uniform(Q20),VIRAT_S_000206_07_001501_001600.mp4,-,-,124.5,2730,2730,2730,2730,100.0,100.0
Proposed,VIRAT_S_000206_07_001501_001600.mp4,0.01,0.157,521.87,2730,2730,2730,2730,100.0,100.0
Proposed,VIRAT_S_000206_07_001501_001600.mp4,0.05,0.267,521.87,2730,2730,2730,2730,100.0,100.0
Proposed,VIRAT_S_000206_07_001501_001600.mp4,0.1,0.325,521.87,2730,2730,2730,2730,100.0,100.0
Proposed,VIRAT_S_000206_07_001501_001600.mp4,0.2,0.396,521.87,2730,2730,2730,2730,100.0,100.0
Baseline,VIRAT_S_000206_08_001618_001712.mp4,-,-,548.26,2809,2809,2809,2809,100.0,100.0
Uniform(Q20),VIRAT_S_000206_08_001618_001712.mp4,-,-,131.27,2809,2809,2809,2809,100.0,100.0
Proposed,VIRAT_S_000206_08_001618_001712.mp4,0.01,0.1,548.26,2809,2809,2809,2809,100.0,100.0
Proposed,VIRAT_S_000206_08_001618_001712.mp4,0.05,0.216,548.26,2809,2809,2809,2809,100.0,100.0
Proposed,VIRAT_S_000206_08_001618_001712.mp4,0.1,0.282,548.26,2809,2809,2809,2809,100.0,100.0
Proposed,VIRAT_S_000206_08_001618_001712.mp4,0.2,0.362,548.26,2809,2809,2809,2809,100.0,100.0
Baseline,VIRAT_S_000206_09_001714_001851.mp4,-,-,741.61,3810,3810,3810,3810,100.0,100.0
Uniform(Q20),VIRAT_S_000206_09_001714_001851.mp4,-,-,176.18,3810,3810,3810,3810,100.0,100.0
Proposed,VIRAT_S_000206_09_001714_001851.mp4,0.01,0.1,741.61,3810,3810,3810,3810,100.0,100.0
Proposed,VIRAT_S_000206_09_001714_001851.mp4,0.05,0.219,741.61,3810,3810,3810,3810,100.0,100.0
Proposed,VIRAT_S_000206_09_001714_001851.mp4,0.1,0.283,741.61,3810,3810,3810,3810,100.0,100.0
Proposed,VIRAT_S_000206_09_001714_001851.mp4,0.2,0.359,741.61,3810,3810,3810,3810,100.0,100.0
Baseline,VIRAT_S_000207_00_000000_000045.mp4,-,-,273.43,1350,1350,1350,1350,100.0,100.0
Uniform(Q20),VIRAT_S_000207_00_000000_000045.mp4,-,-,64.88,1350,1350,1350,1350,100.0,100.0
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.01,0.223,273.43,1350,1350,1350,1350,100.0,100.0
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.05,0.332,273.43,1350,1350,1350,1350,100.0,100.0
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.1,0.39,273.43,1350,1350,1350,1350,100.0,100.0
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.2,0.46,273.43,1350,1350,1350,1350,100.0,100.0
Baseline,VIRAT_S_000207_01_000094_000156.mp4,-,-,374.65,1848,1848,1848,1848,100.0,100.0
Uniform(Q20),VIRAT_S_000207_01_000094_000156.mp4,-,-,88.5,1848,1848,1848,1848,100.0,100.0
